No,Bentuk Pemanfaatan,Dimanfaatakan Untuk,Desa,Kecamatan,Jenis Hak,Jalan,Pengelola,Luas,Bujur,Lintang,Sumber_data,Bujur Desimal,Lintang Desimal,Bujur alun,Lintang alun,Jarak pusat kota,Jarak jalan utama,Tempat umum
64,Pakai,Sawah,SOGATEN,MANGUHARJO,PAKAI,Blok Sawah,Sogaten,3176,"31,18","36,064",,111.519.666.666.667,760.106.666.666.667,112,8,3131,,
55,Pakai,Ruko,REJOMULYO,KARTOHARJO,PAKAI,,Rejomulyo,8740,"32,566","37,368",,111.542.766.666.667,7.6228,112,8,2946,,
52,Pakai,Ruko,REJOMULYO,KARTOHARJO,PAKAI,Jl. Sedana Mulyo,Rejomulyo,4865,"32,542","37,348",,111.542.366.666.667,762.246.666.666.667,112,8,2912,,
51,Pakai,Ruko,PILANGBANGO,KARTOHARJO,PAKAI,Jl. Pilang Makmur,Pilangbango,3580,"32,496","37,316",,1.115.416,762.193.333.333.333,112,8,2847,,
63,Pakai,Sawah,NGEGONG,MANGUHARJO,PAKAI,Blok Sawah,Manguharjo,2630,"30,863","36,235",,111.514.383.333.333,760.391.666.666.667,112,8,2811,,
30,Sewa,Ruko,KLEGEN,KARTOHARJO,HGB,Jl. Dr. setia Budi - Slamet Riadi,Bagian perlengkapan,87580,"32,516","38,002",,111.541.933.333.333,763.336.666.666.667,112,8,2811,,
54,Pakai,Ruko,REJOMULYO,KARTOHARJO,PAKAI,,Rejomulyo,9460,"32,448","37,324",,1.115.408,762.206.666.666.667,112,8,2758,,
53,Pakai,Ruko,REJOMULYO,KARTOHARJO,PAKAI,Jl. Sadana mulyo,Rejomulyo,5150,"32,429","37,338",,111.540.483.333.333,7.6223,112,8,2717,,
42,Pakai,Sawah,DEMANGAN,TAMAN,PAKAI,Jalan mangkuprajan gang VI,Demangan,4500,"31,454","39,14",Pakai Sawah,111.524.233.333.333,765.233.333.333.333,112,8,2712,,
76,Pakai,Ruko,BANJAREJO,TAMAN,PAKAI,,UPTD TAMAN,599,"31,787","38,986",,111.529.783.333.333,764.976.666.666.667,112,8,2709,,
79,Sewa,Ruko,JOSENAN,TAMAN,PAKAI,Jl. Tilampil,DKK,229,"30,952","39,189",,111.515.866.666.667,765.315,112,8,2678,,
62,Pakai,Sawah,NGEGONG,MANGUHARJO,PAKAI,Blok Sawah,Manguharjo,6271,"31,041","36,302",,11.151.735,760.503.333.333.333,112,8,2675,,
,Pakai,Sawah,SUKOSARI,KARTOHARJO,PAKAI,,Sukosari,17770,"32,019","36,721",,11.153.365,761.201.666.666.667,112,8,2655,,
29,Sewa,Ruko,KLEGEN,KARTOHARJO,HGB,Jl. Hercules,Bagian perlengkapan,3614,"32,404","37,865",Sewa Kota,111.540.066.666.667,763.108.333.333.333,112,8,2574,,
26,Sewa,Perumahan,KLEGEN,KARTOHARJO,HGB,JL SLAMET RIYADI DAN JL SETIABUDI,AURI,87580,"32,38","37,898",Sewa Kota,111.539.666.666.667,763.163.333.333.333,112,8,2536,,
,Pakai,Sawah,SUKOSARI,KARTOHARJO,PAKAI,,Sukosari,18340,"31,979","36,807",,111.532.983.333.333,761.345,112,8,2491,,
31,Sewa,Ruko,PANDEAN,TAMAN,HGB,,,255,"31,942","38,652",Pakai PasarKota,111.532.366.666.667,7.6442,112,8,2402,,
24,Sewa,Perumahan,PANDEAN,TAMAN,HGB,JALAN SALAK,,27024,"31,91","38,653",Sewa Kota,111.531.833.333.333,764.421.666.666.667,112,8,2362,,
12,Sewa,Pasar,KLEGEN,KARTOHARJO,HPL,Jl. Imam Bonjol Slamet Riadi,Dinas pasar,14060,"32,258","37,541",Sewa - Kota,111.537.633.333.333,762.568.333.333.333,112,8,2327,,
46,Pakai,Ruko,ORO ORO OMBO,KARTOHARJO,PAKAI,Jl. Pelitatama,Oro-oro Ombo,3987,"32,202","37,348",,1.115.367,762.246.666.666.667,112,8,2313,,
47,Pakai,Ruko,ORO ORO OMBO,KARTOHARJO,PAKAI,Jl. Pelitatama,Oro-oro Ombo,4105,"32,203","37,36",,111.536.716.666.667,762.266.666.666.667,112,8,2308,,
48,Pakai,Ruko,ORO ORO OMBO,KARTOHARJO,PAKAI,,Oro-oro Ombo,4135,"32,204","37,371",,111.536.733.333.333,762.285,112,8,2304,,
32,Sewa,Mall,ORO ORO OMBO,KARTOHARJO,HPL,Jl. Pelita Tama,DKK,55157,"32,148","37,365",Pakai PasarKota,1.115.358,762.275,112,8,2209,,
50,Pakai,Ruko,ORO ORO OMBO,KARTOHARJO,PAKAI,Jl. Pelitatama,Oro-oro Ombo,380,"32,117","37,327",,111.535.283.333.333,762.211.666.666.667,112,8,2179,,
66,Pakai,Sawah,KEJURON,TAMAN,PAKAI,Blok Sawah Koci,Kejuron,6635,"30,042","38,418",,1.115.007,7.6403,112,8,2169,,
49,Pakai,Ruko,ORO ORO OMBO,KARTOHARJO,PAKAI,Jl. Pelitatama,Oro-oro Ombo,3840,"32,111","37,338",,111.535.183.333.333,7.6223,112,8,2162,,
45,Pakai,Ruko,ORO ORO OMBO,KARTOHARJO,PAKAI,Jl. Pelitatama,Oro-oro Ombo,3045,"32,109","37,351",,11.153.515,762.251.666.666.667,112,8,2151,,
44,Pakai,Ruko,ORO ORO OMBO,KARTOHARJO,PAKAI,,Oro-oro Ombo,3565,"32,109","37,365",,11.153.515,762.275,112,8,2141,,
75,Sewa,Sawah,,,HPL,,BUMD,4000,11.152.828,-7.644.049,Sewa - Kabupaten,11.152.828,7.644.049,112,8,2091,,
14,Pakai,Pasar,ORO ORO OMBO,KARTOHARJO,PAKAI,Jl. Let. Jend. S. Parman,Dinas Pasar,1380,"32,002","37,221",Sewa - Kota,111.533.366.666.667,762.035,112,8,2068,,
84,Pakai,Kantor,MOJOREJO,TAMAN,PAKAI,Jl. Dr. Setia Budi,Mojorejo,997,"32,102","37,965",,111.535.033.333.333,763.275,112,8,2051,,
43,Pakai,Ruko,ORO ORO OMBO,KARTOHARJO,PAKAI,Jl. Let. Jend. S. Parman,Kecamatan Kartoharjo,14610,"32,042","37,347",,111.534.033.333.333,762.245,112,8,2037,,
85,Pakai,Kantor,MOJOREJO,TAMAN,PAKAI,Jl. Setia Budi No. 62 - 13,Mojorejo,410,"32,041","37,959",,111.534.016.666.667,763.265,112,8,1938,,
83,Sewa,Ruko,ORO ORO OMBO,KARTOHARJO,PAKAI,,DKK,366,"32,009","37,435",,111.533.483.333.333,762.391.666.666.667,112,8,1926,,
19,Pakai,Pasar,NAMBANGAN KIDUL,MANGUHARJO,PAKAI,Jl. Tirta Raya,Dinas Pasar,5200,"29,98","37,924",Sewa - Kota,111.499.666.666.667,763.206.666.666.667,112,8,1917,,
96,Pakai,Perumahan,ORO ORO OMBO,KARTOHARJO,PAKAI,Blok Selatan Pertamina,Oro-oro Ombo,8985,"31,631","36,915",,111.527.183.333.333,761.525,112,8,1917,,
41,Sewa,Ruko,MOJOREJO,TAMAN,PAKAI,Jl. Mastrip - Letjen. Haryono,dinas pasar,1150,"31,958","37,972",Pakai PasarKota,111.532.633.333.333,763.286.666.666.667,112,8,1795,,
81,Sewa,Ruko,NAMBANGAN KIDUL,MANGUHARJO,PAKAI,Jl. Trunojoyo,DKK,2379,"31,053","38,709",,11.151.755,764.515,112,8,1788,,
65,Pakai,Sawah,MANGUHARJO,MANGUHARJO,PAKAI,Blok Sawah,Manguharjo,5720,"30,204","37,264",,1.115.034,762.106.666.666.667,112,8,1725,,
67,Pakai,Sawah,KEJURON,TAMAN,PAKAI,Blok sawah,Mojorejo,7745,"30,225","38,133",,11.150.375,763.555,112,8,1608,,
78,Sewa,Ruko,ORO ORO OMBO,KARTOHARJO,HPL,Jl. Diponegoro No. 34,DKK,754,"31,782","37,408",,1.115.297,762.346.666.666.667,112,8,1553,,
68,Pakai,Sawah,KEJURON,TAMAN,PAKAI,Blok Sawah Koci,Mojorejo,2370,"30,312","38,194",,1.115.052,763.656.666.666.667,112,8,1525,,
36,Sewa,Ruko,MANGUHARJO,MANGUHARJO,MILIK,Blok Jatengan Kidul,Manguharjo,3775,"30,322","37,975",Pakai PasarKota,111.505.366.666.667,763.291.666.666.667,112,8,1330,,
88,Pakai,Taman,KEJURON,TAMAN,PAKAI,Jl. Kapten Saputro,Kejuron,17033,"31,608","38,061",,1.115.268,763.435,112,8,1248,,
23,Pakai,Pasar,MADIUN LOR,MANGUHARJO,PAKAI,Jl. Pahlawan,Dinas Pasar,1320,"31,3","37,145",,111.521.666.666.667,761.908.333.333.333,112,8,1235,,
34,Sewa,Ruko,PANDEAN,TAMAN,HPL,Jl. Musi,Pandean,865,"31,114","38,391",Pakai PasarKota,111.518.566.666.667,763.985,112,8,1213,,
87,Pakai,Kantor,KEJURON,TAMAN,PAKAI,Jl. Kapten Saputro,Kejuron,1867,"31,548","38,111",,1.115.258,763.518.333.333.333,112,8,1202,,
37,Sewa,Ruko,,,HPL,,BPKAD,150,11.152.578,-7.623.174,Sewa - Kabupaten,11.152.578,7.623.174,112,8,1188,,
35,Sewa,Ruko,MANGUHARJO,MANGUHARJO,MILIK,Blok Jatengan Kidul,Manguharjo,3720,"30,411","37,989",Pakai PasarKota,11.150.685,763.315,112,8,1186,,
57,Pakai,Kantor,MADIUN LOR,MANGUHARJO,PAKAI,Jl. Sumatra No. 22,Bagian perlengkapan,1192,"31,369","37,254",,111.522.816.666.667,7.6209,112,8,1126,,
,Pakai,Ruko,MADIUN LOR,MANGUHARJO,PAKAI,Jl.Sumatra no.33,,175,"31,286","37,237",,111.521.433.333.333,762.061.666.666.667,112,8,1071,,
,Sewa,Ruko,MADIUN LOR,MANGUHARJO,PAKAI,Jl.Pahlawan no 19,,311,"31,258","37,256",,111.520.966.666.667,762.093.333.333.333,112,8,1016,,
20,Pakai,Ruko,KEJURON,TAMAN,PAKAI,Jl. Jend Sudirman no.77,Dinas pasar,421,"31,444","37,885",Sewa - Kota,111.524.066.666.667,763.141.666.666.667,112,8,842,,
71,Pakai,Taman,MADIUN LOR,MANGUHARJO,PAKAI,Jl. Pahlawan,Madiun Lor,1700,"31,21","37,34",,111.520.166.666.667,762.233.333.333.333,112,8,837,,
21,Pakai,Pasar,MANGUHARJO,MANGUHARJO,PAKAI,Jl. Hayam Wuruk,Dinas Pasar,947,"30,56","37,723",,111.509.333.333.333,762.871.666.666.667,112,8,824,,
72,Pakai,Taman,MADIUN LOR,MANGUHARJO,PAKAI,Jl. Pahlawan,Madiun Lor,1624,"31,186","37,337",,111.519.766.666.667,762.228.333.333.333,112,8,824,,
7,Pakai,Kantor,KARTOHARJO,KARTOHARJO,PAKAI,Jl. Dr. Sutomo No. 70,DPRD,1492,"31,403","37,675",Sewa - Kota,111.523.383.333.333,762.791.666.666.667,112,8,737,,
4,Pakai,Kantor,KARTOHARJO,KARTOHARJO,PAKAI,Jl. Perintis Kemerdekaan,DPRD,5070,"31,306","37,492",Sewa - Kota,111.521.766.666.667,762.486.666.666.667,112,8,721,,
9,Sewa,Kantor,,,HPL,,BPKAD,200,111.512.291,-7.633.486,Sewa - Kabupaten,111.512.291,7.633.486,112,8,698,,
6,Pakai,Kantor,KARTOHARJO,KARTOHARJO,PAKAI,Jl. Sulawesi 18,Kartoharjo,2235,"31,336","37,666",Sewa - Kota,111.522.266.666.667,762.776.666.666.667,112,8,620,,
82,Sewa,Ruko,NAMBANGAN LOR,MANGUHARJO,PAKAI,Jl. Agus Salim,DKK,90,"31,023","38,078",,11.151.705,763.463.333.333.333,112,8,618,,
73,Pakai,Taman,PANGONGANGAN,MANGUHARJO,PAKAI,JALAN PAHLAWAN,ASET KOTA,2074,"31,189","37,477",,111.519.816.666.667,762.461.666.666.667,112,8,598,,
39,Sewa,Ruko,,,HPL,,Ruko,2000,111.515.217,-7.624.166,Sewa - Kabupaten,111.515.217,7.624.166,112,8,574,,
11,Sewa,Pasar,KEJURON,TAMAN,HPL,Jl. Jend Sudirman,Dinas Pasar,15710,"31,278","37,882",Sewa - Kota,1.115.213,763.136.666.666.667,112,8,557,,
8,Sewa,Mall,KARTOHARJO,KARTOHARJO,HPL,Jl. Pahlawan dan Kalimantan,Bagian perlengkapan,5785,"31,228","37,609",Sewa - Kota,111.520.466.666.667,762.681.666.666.667,112,8,476,,
15,Pakai,Pasar,PANGONGANGAN,MANGUHARJO,PAKAI,Jl. Mayjend Sungkono,Dinas Pasar,2252,"30,775","37,828",Sewa - Kota,111.512.916.666.667,763.046.666.666.667,112,8,455,,
33,Sewa,Ruko,PANDEAN,TAMAN,HPL,Jl. Kutai-Agus Salim,,1531,"31,042","37,877",Pakai PasarKota,111.517.366.666.667,763.128.333.333.333,112,8,253,,
